"","A01","A02","A03","B","C10-C12","C13-C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31_C32","C33","D35","E36","E37-E39","F","G45","G46","G47","H49","H50","H51","H52","H53","I","J58","J59_J60","J61","J62_J63","K64","K65","K66","L68","M69_M70","M71","M72","M73","M74_M75","N","O84","P85","Q","R_S","T"
"A01",0.101017596631795,0.058284899629764,0.000144237790049921,9.47567803830549e-05,0.112899989898724,0.000520787397996105,0.000146556041046221,0.000360899278872366,0.000423570419065655,5.00258314192824e-05,0.000680350096142757,0.00331461772442887,0.00327608955965749,0.00027152945259162,0.000555116370171334,0.000284804772731319,0.000291191985440963,0.00034064983729484,0.000413480959991401,0.000254365813214414,0.00022084420709234,0.000247454340062277,0.000439852819872897,0.000147162041758277,0.000102752648534029,0.000218614087315949,0.000618241448081907,0.000412760314289858,0.00128051476930588,0.00091586368710898,0.000292328554394269,0.00194254290576169,0.000298441254875046,0.000178444244077086,0.000209459786730359,0.0085101060199708,0.000254251635296423,0.000545450316827335,0.000210818737422941,0.000277824128859751,0.000164925574714902,0.000146594360930191,0.000203746505494846,1.68062659803632e-05,0.000198971069237618,0.00013788277258858,0.000598070349678089,0.000144699698198305,0.000257314420889753,0.000420415319272991,9.56655954783909e-05,0.000333413654489271,0.000385405783138616,0.000292756893209618,0
"A02",4.37343839400612e-05,0.275347414739636,2.26594369680887e-05,3.2207724681945e-05,4.84902962147692e-05,2.27684622778095e-05,0.0256630997818726,5.90304356969581e-05,2.89751290657663e-05,5.17605152135303e-06,0.000136153139978366,1.76037480374924e-05,2.08445748795432e-05,5.51166688203084e-05,4.21320072823032e-05,4.78531607814782e-05,4.56911506334904e-05,3.45543684013445e-05,3.59708122652146e-05,4.36289788957023e-05,3.39656371248918e-05,0.000260310551891718,3.13541433595548e-05,6.65653685836142e-06,7.83459310396363e-06,1.73223631326171e-05,0.000500973761943561,1.49252639699194e-05,1.52999866062943e-05,2.4610254936473e-05,1.9844971863758e-05,2.07858455477154e-05,3.4904179944939e-05,1.9287834060472e-05,2.54331259892272e-05,3.17370217564488e-05,3.18931501194521e-05,7.36967128212155e-05,2.01297716078341e-05,2.05016292707439e-05,2.09008530294664e-05,3.07765358054268e-05,2.24970017100581e-05,1.94752476235516e-06,1.79639100137675e-05,1.66160774607204e-05,1.1744131099606e-05,2.92703666360078e-05,2.24436286941885e-05,3.46538120456555e-05,2.48905350575164e-05,2.10461371890164e-05,4.34317333054853e-05,7.98042989839673e-05,0
"A03",1.05212699292332e-05,1.31748358358874e-05,0.0489986741095007,4.437535558283e-06,0.00500765171455458,1.32300458763136e-05,6.99464761949091e-06,1.93209675523592e-05,2.28724911250503e-05,2.50544895202065e-06,2.12118848478357e-05,9.73214216163612e-06,1.05945386809997e-05,1.33686734410148e-05,3.0026810363006e-05,1.43175059308399e-05,1.82385794891414e-05,1.68365276963497e-05,2.15470390701412e-05,1.30445288165215e-05,8.93461864165791e-06,1.24539035939525e-05,1.12378420460944e-05,2.93661932977029e-06,3.39597718217053e-06,4.80840700812284e-06,7.1343871839338e-06,4.19834353563465e-06,3.88438859149291e-06,2.41304073726129e-05,4.06127878321749e-06,0.00104788979652376,5.69055673191385e-06,5.15822224883198e-06,3.82881189009422e-06,0.00145491051218988,1.10828978252741e-05,5.8873393004465e-06,5.7597531619766e-06,3.14819689687227e-06,2.84580920552024e-06,5.04270760572754e-06,2.81622279929988e-06,7.872969319502e-07,2.64747464124295e-06,2.43633662992356e-06,2.11322586156189e-06,3.88211983910332e-06,3.68706552222501e-06,5.62373662518264e-06,4.12894470632093e-06,3.02283600204488e-06,1.05534116869939e-05,6.04854871340112e-06,0
"B",0.000350853342295848,0.000500408115618522,0.000191393024617716,0.0584535366150437,0.000754603535325422,0.000444939426440814,0.000607748030943295,0.00174035702324341,0.000600028568896125,0.29413574215951,0.00760405481632259,0.000300611159668506,0.000558349661481161,0.0308273529875699,0.0320397029413283,0.000500719130148549,0.000574708747750894,0.000507956933078199,0.000413211877895188,0.000394935951203237,0.000519305090618451,0.00519521041785351,0.000358019060454463,0.118388749968417,0.000195770801798153,0.000751773897757374,0.00437166518366885,0.000466916759443501,0.00132305633303388,0.000370321682460282,0.000349471790152743,0.000255467870266787,0.00015492642746744,0.000927480081815953,0.000394678246703714,0.000550960315081197,0.000359426875002441,0.000314233835946105,0.000212384951167522,0.000468624718443388,0.000279293646139888,0.000282475071218917,0.000124961497862115,0.000125151345241845,0.000316711488265693,0.00145971504488776,0.000590292874223724,0.000521537692721966,0.000549874853394251,0.000609577091464668,0.000258627814226064,0.000181463879820721,0.000328590815155666,0.000295597461572269,0
"C10-C12",0.108454648261617,0.00281679257876886,0.0630580947592505,0.00161050920235112,0.202174693042478,0.0132477840744189,0.00296141600637703,0.010802914796415,0.00379272768973312,0.00228161041025133,0.0129917361298747,0.00471949502001947,0.00581166709252202,0.00936937485025871,0.0137387251113892,0.00174404279206128,0.00526427567100425,0.00336126336776435,0.00316497488408998,0.00295488350990978,0.00203525589506883,0.00264947867203813,0.0014184891963155,0.0012350297518557,0.00109824510795721,0.00159072999019865,0.00139844805723205,0.00134998834530219,0.0148837666743763,0.0290564873678105,0.00241443798590634,0.00457101812408122,0.00437598042418123,0.00493775812728652,0.0100003969927895,0.18371778874727,0.0019673831239697,0.00962166508517999,0.00378951708273069,0.0014581471176287,0.00305560109937067,0.00133667571044308,0.0018043774138836,7.549375371029e-05,0.00239995199383712,0.00188318628175768,0.00276029261963036,0.0052232242002312,0.00439312852577752,0.00546352289017237,0.00129109839393172,0.00657262941533398,0.0105598749839835,0.00941777347707398,0
"C13-C15",0.00310050524607668,0.00457519806558957,0.00598290632777365,0.000891150039435428,0.00053885959340485,0.111771019486023,0.000738898053460067,0.0030485649585676,0.00107744277743429,8.88599108025159e-05,0.00125692012730833,0.000170375300532684,0.00342077026086298,0.00162210985006616,0.000586513153396028,0.000491357469547467,0.000488340471571189,0.00105960596634359,0.00112985860087964,0.00571505643812851,0.00424877870935145,0.0117351830147307,0.00346140871362595,0.000131456450474422,0.00023381268393539,0.000356154180795588,0.00133286497712777,0.00452705242332056,0.00166916699031678,0.00197193826813673,0.000562226247248511,0.000556363647993379,0.000881410383082602,0.000455863061098284,0.00139165978724679,0.0020451544886487,0.000398924552266751,0.00156464143671419,0.00074607434802186,0.000282877345827217,0.000380419922299006,0.000297410862191453,0.000381198154823921,4.20806090523013e-05,0.000279316671104424,0.000236754800378757,0.000829082179585904,0.000735614140073684,0.000678911109905877,0.000895235330351181,0.00214112318710136,0.0010348512555932,0.00146932554525899,0.00157055183342142,0
"C16",0.000806294074680085,0.00272058360814479,0.00061787609973858,0.000603341102854748,0.000722012744471095,0.000915364799175042,0.194256792257511,0.0038587209514988,0.000298659236321066,3.14213631495642e-05,0.000892505138636216,0.000172420581363874,0.000937712851251858,0.00400584933227924,0.000632389395674766,0.00327502300125827,0.000845503666111547,0.00180903521627449,0.001495698393202,0.00323001558908761,0.00334827312082545,0.0250881207306602,0.00267866265560153,0.000126473840406852,0.000125812100964797,0.000151909090894336,0.0104921006330013,0.000289655353348866,0.000356515933674494,0.000333041763795876,0.000188745512957835,0.000349187474020904,0.000245840340451022,0.000361142415416611,0.00030182823023427,0.000576026411880057,0.000172833168566662,0.000409004067233641,0.000422568872926451,0.000147888529391738,5.23486539184351e-05,0.000413759560563259,0.000290030245430707,8.26495117490421e-05,0.000240472057898145,0.000175561133745412,0.000229157664348883,0.000335803533199906,0.000209701275709111,0.000544469485292057,9.05397524771142e-05,0.00077370126883786,0.00012947869954275,0.000281545312081567,0
"C17",0.00763059952665596,0.00101778691512038,0.000768122078502848,0.000124533320960649,0.0172574261079094,0.00682445157711619,0.00848569495203188,0.138677560903529,0.0793860960914674,0.00028329677045367,0.00607546600470524,0.0030171819789291,0.0123523956117606,0.0101528401911819,0.00126161562265759,0.00291935385197452,0.00262650351509612,0.00396162494206019,0.0023848103477812,0.00107310458576187,0.00105131110420645,0.00481192255341937,0.00100577775900043,0.00049941401563201,0.0013560148685808,0.0010303112789459,0.00103371157586888,0.000728936063541952,0.00352975201845747,0.00119290482688967,0.000869048166724597,6.45502018188179e-05,0.00021904533938927,0.000772442343537326,0.000783403665961563,0.00126038041481474,0.0117020387221895,0.000640597970094619,0.000714464091409976,0.00130594741806326,0.00165671715192949,0.00248827232315398,0.00236510146035419,0.000261564940086866,0.000980820590626382,0.00154296701016447,0.000596052099312225,0.00413677828380478,0.00072257829599547,0.000989328838173183,0.00273183847823975,0.00144312227276507,0.00189623025117028,0.000958486373403483,0
"C18",0.00117081261708069,0.00415688455457971,0.000247437024999425,0.000138001549271134,0.0022138906497345,0.00144651459444121,0.00154139145077462,0.0136046813342419,0.0605127386284663,0.000213812670214631,0.00133118841139044,0.00146829972027169,0.00188957181915974,0.00170084652370432,0.000487468631484602,0.000905384008354671,0.00128381693309621,0.00126480222571474,0.00131333066986426,0.000851347773795366,0.000878314320931096,0.00168695929637182,0.000865629434599343,0.000308802858128749,0.000263533421126067,0.00104068929267008,0.000426656246984274,0.00155331269950395,0.00223968198318189,0.000944939695350719,0.000571893702136153,0.000276956081552297,0.00034014859541843,0.00197452141010421,0.000601115304113418,0.000387630987535688,0.0556932557033315,0.0014607810597583,0.00250241355162405,0.000933224704468001,0.00359791705916723,0.00698983724797445,0.00285076819852679,0.00046960615170205,0.00178924363905472,0.000767653188838494,0.000255981019439687,0.00149064353174089,0.00083901836324257,0.00159865158391749,0.00493271879859947,0.00655406051531454,0.00350268938340973,0.00274773669306158,0
"C19",0.0116334395289174,0.0163327419221468,0.0289465896466759,0.0032953030367327,0.00216727315882617,0.00102877540842568,0.00432296854104569,0.00218299093411953,0.000658771974777826,0.0296078773980328,0.00594194164837701,0.000713339608477125,0.00226994312796444,0.00439355971126992,0.0109155488362675,0.00120617423463074,0.000723715716932203,0.00256104999708784,0.0021292113686402,0.000454713015164606,0.000852257892813882,0.00201318059272435,0.000609525241608157,0.00205085621386471,0.00224273414786694,0.000999010928192094,0.000985834988375485,0.00147295550518343,0.00346110308743423,0.00238976232800371,0.0127376438670747,0.00377622622727421,0.0231227301356413,0.000986744886983254,0.00439574775003813,0.00299026245837641,0.000313457697788064,0.00108849313279339,0.00214359499912228,0.00117310896962311,0.000890511071845863,0.000328565665452443,0.0012478576219087,5.2857032951903e-05,0.000651040114518443,0.0013922869096702,0.00165233982401832,0.00123511474045919,0.00106041800207349,0.00105807043933311,0.0016357949873603,0.00083567445881079,0.000577447955860401,0.00085119360238577,0
