,Food&non-alcoholicdrinks,"Alcoholicdrinks,tobacco&narcotics",Clothing&footwear,"Housing(net)2,fuel&power",Householdgoods&services,Health,Transport,Communication,Recreation&culture,Education,Restaurants&hotels,Miscellaneousgoods&services
A01,0.02,0,0,0,0,0,0,0,0,0,0,0
A02,0,0,0,0,0,0,0,0,0,0,0,0
A03,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0,0,0
C10-C12,0.1,0.02,0,0,0,0,0,0,0,0,0,0
C13-C15,0,0,0.02,0,0.02,0,0,0,0,0,0,0
C16,0,0,0,0,0,0,0,0,0,0,0,0
C17,0,0,0,0,0,0,0,0,0,0,0,0
C18,0,0,0,0,0,0,0,0,0,0,0,0
C19,0,0,0,0,0,0,0.01,0,0,0,0,0
C20,0,0,0,0,0.01,0,0,0,0,0,0,0.01
C21,0,0,0,0,0,0.02,0,0,0,0,0,0
C22,0,0,0,0,0,0,0,0,0,0,0,0
C23,0,0,0,0,0.01,0,0,0,0,0,0,0
C24,0,0,0,0,0,0,0,0,0,0,0,0
C25,0,0,0,0,0.01,0,0,0,0,0,0,0
C26,0,0,0,0,0,0,0,0,0.02,0,0,0
C27,0,0,0,0,0,0,0,0,0,0,0,0
C28,0,0,0,0,0.02,0,0,0,0,0,0,0
C29,0,0,0,0,0,0,0.01,0,0,0,0,0
C30,0,0,0,0,0,0,0,0,0,0,0,0
C31_C32,0,0,0,0,0.02,0,0,0,0,0,0,0.01
C33,0,0,0,0,0,0,0,0,0,0,0,0
D35,0,0,0,0.04,0,0,0,0,0,0,0,0
E36,0,0,0,0.01,0,0,0,0,0,0,0,0
E37-E39,0,0,0,0.01,0,0,0,0,0,0,0,0
F,0,0,0,0,0,0,0,0,0,0,0,0
G45,0,0,0,0,0,0,0.01,0,0,0,0,0
G46,0,0,0,0,0,0,0,0,0,0,0,0
G47,0,0,0,0,0,0,0,0,0,0,0,0
H49,0,0,0,0,0,0,0.01,0,0,0,0,0
H50,0,0,0,0,0,0,0,0,0,0,0,0
H51,0,0,0,0,0,0,0,0,0,0,0,0
H52,0,0,0,0,0,0,0,0,0,0,0,0
H53,0,0,0,0,0,0,0,0,0,0,0,0
I,0,0,0,0,0,0,0,0,0,0,0.02,0
J58,0,0,0,0,0,0,0,0,0.01,0,0,0
J59_J60,0,0,0,0,0,0,0,0,0.01,0,0,0
J61,0,0,0,0,0,0,0,0.04,0,0,0,0
J62_J63,0,0,0,0,0,0,0,0,0,0,0,0
K64,0,0,0,0,0,0,0,0,0,0,0,0.02
K65,0,0,0,0,0,0,0,0,0,0,0,0.02
K66,0,0,0,0,0,0,0,0,0,0,0,0
L68,0,0,0,0.09,0,0,0,0,0,0,0,0
M69_M70,0,0,0,0,0,0,0,0,0,0,0,0
M71,0,0,0,0,0,0,0,0,0,0,0,0
M72,0,0,0,0,0,0,0,0,0,0,0,0
M73,0,0,0,0,0,0,0,0,0,0,0,0
M74_M75,0,0,0,0,0,0,0,0,0,0,0,0
N,0,0,0,0,0,0,0.01,0,0,0,0,0
O84,0,0,0,0,0,0,0,0,0,0,0,0
P85,0,0,0,0,0,0,0,0,0,0.01,0,0
Q,0,0,0,0,0,0.02,0,0,0,0,0,0.01
R_S,0,0,0,0,0,0,0,0,0.01,0,0,0.01
T,0,0,0,0,0.01,0,0,0,0,0,0,0
,,,,,,,,,,,,
